HAVNE_ID;NAVN;ERHVERVSHAVN;LYSTBAADEHAVN;PLAN;PLAN2;PLAN3;PLAN_OPDATERET;PLAN2_OPDATERET;PLAN3_OPDATERET;FOTO1;FOTOTEKST1;OPR1;FOTOGRAFNAVN1;FOTO2;FOTOTEKST2;OPR2;FOTOGRAFNAVN2;FOTO3;FOTOTEKST3;OPR3;FOTOGRAFNAVN3;FOTO4;FOTOTEKST4;OPR4;FOTOGRAFNAVN4;FOTO5;FOTOTEKST5;OPR5;FOTOGRAFNAVN5;FOTO6;FOTOTEKST6;OPR6;FOTOGRAFNAVN6;FOTO7;FOTOTEKST7;OPR7;FOTOGRAFNAVN7;FOTO8;FOTOTEKST8;OPR8;FOTOGRAFNAVN8;BREDDE;LAENGDE;X;Y
667;Equinor Oliepier;-1;0;SKTKALBG;;;okt 25, 2019 12:00:00 AM;;;SKTEQUIO1;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°40,0'N;011°05,5'E;631573;6170957
129;Hjortø Havn;0;-1;LF_HJOTO;;;mar 06, 2020 12:00:00 AM;;;LF_HJOTO1;;maj 1997;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°58,0'N;010°29,5'E;595493;6092115
115;Hasle Havn;-1;-1;BOTHASLE;;;dec 20, 2019 12:00:00 AM;;;BOTHASLE1;Havnen set fra N;august 2018;Luftfoto Danmark ApS;BOTHASLE2;N-lig havnebassin og Bassin IV;august 2018;Luftfoto Danmark ApS;BOTHASLE3;Bassin IV, III og II;august 2018;Luftfoto Danmark ApS;BOTHASLE4;Bassin III, II og I;august 2018;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;55°11,2'N;014°42,2'E;862746;6130544
118;Hejlsminde Lystbådehavn;0;-1;LF_HJLMI;;;dec 07, 2018 12:00:00 AM;;;LF_HJLMI1;;juli 2010;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°21,7'N;009°36,1'E;538149;6135065
59;Dyreborg Havn;0;-1;LF_DYRBG;;;maj 26, 2016 12:00:00 AM;;;LF_DYRBG1;;maj 1997;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°04,3'N;010°13,1'E;577759;6103441
50;Christiansø Havn;-1;-1;BOTCHRSO;;;sep 07, 2016 12:00:00 AM;;;BOTCHRSO1;Havnen set fra S;august 2018;Luftfoto Danmark ApS;BOTCHRSO2;Havnen set fra SW;august 2018;Luftfoto Danmark ApS;BOTCHRSO3;Havnen set fra NW;august 2018;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;55°19,2'N;015°11,2'E;892276;6147861
615;Sandbjerg Marina;0;-1;SK_JULSA;;;mar 13, 2013 12:00:00 AM;;;SK_SNDBJ1;;juli 2011;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°43,1'N;010°00,6'E;563381;6175093
475;Aalborg Portland Havn;-1;0;JVTAALBP;;;jun 13, 2007 12:00:00 AM;;;JVTAALBP1;;juli 2012;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57°04,0'N;009°58,3'E;558917;6325178
842;Knebelbro Jolle- og Bådehavn;0;-1;;;;;;;SK_KNEBR1;;august 2004;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56°12,2'N;010°28,3'E;591331;6229799
579;Asnæsværkets Havn;-1;0;SKTASNVK;;;maj 10, 2019 12:00:00 AM;;;SKTASNVK1;;august 2019;Luftfoto Danmark ApS;SKTASNVK2;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;55°39,9'N;011°04,6'E;630613;6170801
255;Petersværft Bro;0;-1;;;;;;;SM_PETBR1;;august 2019;Luftfoto Danmark ApS;SM_PETBR2;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;54°58,2'N;012°04,6'E;696906;6095727
113;Hammer Havn;0;-1;BO_HAMRH;;;nov 11, 2015 12:00:00 AM;;;BO_HAMRH1;Foto viser havnen efter ombygning;juli 2012;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°16,7'N;014°45,4'E;865445;6140807
114;Hardeshøj Færgebro;0;-1;LF_HRDHJ;;;nov 02, 2018 12:00:00 AM;;;LF_HRDHJ1;;juli 2001;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°00,5'N;009°41,5'E;544277;6095903
107;Gåbense Lystbådehavn;0;-1;SM_GBENS;;;sep 21, 2018 12:00:00 AM;;;SM_GBENS1;;august 2019;Luftfoto Danmark ApS;SM_GBENS2;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;54°56,6'N;011°52,9'E;684545;6092297
51;Dageløkke Lystbådehavn;0;-1;LF_DGLKE;;;maj 26, 2016 12:00:00 AM;;;LF_DGLKE1;;juli 2001;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°03,8'N;010°51,7'E;618883;6103370
55;Drejø Gl. Havn;0;-1;LF_DRJOG;;;sep 28, 2018 12:00:00 AM;;;LF_DRJOG1;;maj 1997;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°58,5'N;010°25,2'E;590902;6092897
44;Bøjden Bro;0;-1;LF_BJDBR;;;okt 26, 2018 12:00:00 AM;;;LF_BJDBR1;;august 1999;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°06,4'N;010°05,8'E;569917;6107212
45;Bøjden Færgehavn;0;0;;;;;;;LF_BJDFH1;;maj 1997;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°06,3'N;010°04,9'E;568983;6107062
46;Bølshavn;0;-1;;;;;;;BO_BOELS1;;august 2018;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°09,3'N;015°04,6'E;886973;6128899
845;Sundby Mors Havn;0;-1;;;;;;;JV_SUNDM1;;juli 2013;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56°53,1'N;008°38,2'E;477819;6304567
844;Stigsnæs Olieterminal;-1;0;SMTSTGNV;;;aug 10, 2018 12:00:00 AM;;;SMTSTGNV1;;august 1999;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°12,3'N;011°14,9'E;642837;6119875
455;Stauning Havn;0;-1;JV_STAUN;;;nov 11, 2015 12:00:00 AM;;;JV_STAUN1;;maj 1997;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°57,2'N;008°22,2'E;460599;6201010
1101;Kalundborg Asnæs Havn;-1;0;SKTASNVK;;;maj 10, 2019 12:00:00 AM;;;SKTKALAS1;;august 2019;Luftfoto Danmark ApS;SKTKALAS2;;august 2019;Luftfoto Danmark ApS;SKTKALAS3;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;55°39,8'N;011°03,8'E;629765;6170681
847;Søndre Frihavn Lystbådehavn;0;-1;;;;;;;SUTKBHXX3;;juli 2006;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°41,8'N;012°35,7'E;725978;6178256
848;Tambohus Naturhavn;0;-1;JV_TAMHS;;;feb 10, 2017 12:00:00 AM;;;JV_TAMHS1;;juli 2010;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56°38,2'N;008°35,6'E;475094;6277053
1121;Masnedsund Havn;0;-1;SMTVODBG;;;maj 10, 2019 12:00:00 AM;;;SM_MSNSH1;;august 2019;Luftfoto Danmark ApS;SM_MSNSH2;;august 2019;Luftfoto Danmark ApS;SM_MSNSH3;Set fra SE;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;54°59,6'N;011°53,9'E;685404;6098035
1142;Skansen Havn;0;-1;SM_SKANH;;;sep 13, 2019 12:00:00 AM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54°56,1'N;11°59,6'E;691794;6091695
751;Tuborg Havn;0;-1;SUTTUBRG;;;jun 12, 2020 12:00:00 AM;;;SUTTUBRG1;;august 2015;JW Luftfoto;SUTTUBRG2;;august 2015;JW Luftfoto;;;;;;;;;;;;;;;;;;;;;;;;;55°43,6'N;012°35,2'E;725158;6181433
1025;Hobro Både- og Fiskerihavn;0;-1;NKTHOBRO;;;sep 08, 2017 12:00:00 AM;;;NK_HOBRF1;;september 2017;JW Luftfoto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56°38,3'N;009°48,4'E;549444;6277433
252;Orehoved Havn;-1;0;SMTOREHD;;;mar 20, 2020 12:00:00 AM;;;SMTOREHD1;;august 2019;Luftfoto Danmark ApS;SMTOREHD2;;august 2019;Luftfoto Danmark ApS;;;;;;;;;;;;;;;;;;;;;;;;;54°57,5'N;011°51,2'E;682760;6094072
400;Bork Havn;0;-1;JV_BORKX;;;jan 10, 2020 12:00:00 AM;;;JV_BORKX1;;september 2007;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°51,0'N;008°16,7'E;454794;6189627
819;Hou Lystbådehavn;0;-1;NK_HOUXX;;;nov 22, 2019 12:00:00 AM;;;NK_HOUXX1;;juli 2000;Svend Møller Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57°03,3'N;010°22,7'E;583835;6324506
749;Sundby Sejlforenings Havn;0;-1;SU_SUNBY;;;jul 28, 2004 12:00:00 AM;;;SU_SUNBY1;;august 2004;Arne Magnussen, Helsingør;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55°39,9'N;012°38,0'E;728514;6174730
68;Ensted Havn;-1;0;LFTENSVK;;;maj 15, 2020 12:00:00 AM;;;LFTENSVK1;;august 1999;Jørgen Schou Reklamefotografi, Odense;LFTENSVK2;;august 1999;Jørgen Schou Reklamefotografi, Odense;;;;;;;;;;;;;;;;;;;;;;;;;55°01,5'N;009°26,5'E;528157;6097742
433;Løgstør Havn;-1;-1;JVTLOGST;;;jan 11, 2017 12:00:00 AM;;;JVTLOGST1;Kanalhavn og Vester Bådehavn;august 2016;JW Luftfoto;JVTLOGST2;Muslingehavn og Østkaj;august 2016;JW Luftfoto;;;;;;;;;;;;;;;;;;;;;;;;;56°58,1'N;009°14,7'E;515053;6313895
325;Svendborg Havn;-1;-1;LFTSVNBG;;;apr 06, 2016 12:00:00 AM;;;LFTSVNBG1;Havnen set fra SE;august 2018;Luftfoto Danmark ApS;LFTSVNBG2;Havnen set fra W;august 2018;Luftfoto Danmark ApS;LFTSVNBG3;Frederiksø og Østre Havn;august 2018;Luftfoto Danmark ApS;LFTSVNBG4;Østre Havn Jollehavn;august 2018;Luftfoto Danmark ApS;LFTSVNBG5;Nordre Havn;august 2018;Luftfoto Danmark ApS;LFTSVNBG6;Søndre Havn;august 2018;Luftfoto Danmark ApS;LFTSVNBG7;Træskibshavnen;august 2018;Luftfoto Danmark ApS;;;;;55°03,4'N;010°36,9'E;603249;6102737
